6,6,-9,6,8,5,6,8,8,10,10,10,11,13,14,14,14,16,19,19,19,19,20,22,22,26,26,27,28,30
7,4,6,6,4,4,6,8,8,9,12,13,13,13,13,14,16,16,17,18,20,21,22,25,29,29,29,30,32,32
8,6,4,4,4,4,4,5,8,9,12,12,16,17,17,17,18,20,23,25,25,26,26,26,26,26,30,31,32,34
3,5,2,6,5,8,8,9,11,12,15,15,17,17,20,20,20,20,21,22,22,24,25,26,29,30,31,31,38,38
4,3,3,7,7,6,6,7,7,13,13,18,18,18,20,20,22,22,22,23,25,25,25,26,27,31,36,40,40,40
5,8,5,7,6,4,8,8,10,13,16,16,18,18,18,20,21,21,21,21,21,21,21,21,22,22,22,22,24,24
7,7,4,6,6,5,7,6,8,8,8,9,12,13,14,20,22,24,29,31,36,37,38,39,39,39,40,43,43,48
7,5,6,5,5,6,12,12,15,17,17,17,21,21,23,24,29,31,31,38,38,39,39,39,39,41,41,44,46,48
6,5,4,7,6,7,10,9,11,15,16,17,18,18,18,21,21,23,23,24,24,24,26,26,26,26,28,28,28,30
6,5,5,8,7,5,7,8,9,12,12,14,16,16,21,28,28,28,34,35,47,48,54,54,54,55,56,59,59,59
4,6,3,5,4,8,7,7,8,8,10,11,12,14,15,16,18,22,22,24,25,27,28,28,34,37,37,38,40,40
-6,9,8,9,12,5,6,7,9,12,12,18,19,22,22,22,24,27,27,27,28,29,30,31,32,32,33,35,37,39
-11,6,8,6,6,6,4,9,9,12,13,14,18,20,21,23,26,28,32,33,34,36,38,38,42,42,43,44,45,46
5,4,6,5,5,5,10,18,20,23,24,24,25,25,25,26,26,28,30,30,30,30,31,35,36,38,40,43,46,46
5,6,5,6,6,7,6,6,7,7,8,8,9,13,13,20,20,21,24,25,27,28,28,28,28,28,30,34,35,35
4,6,-5,6,6,6,7,7,7,8,11,11,12,12,14,15,22,26,28,28,31,39,41,41,43,46,47,50,53,53
7,6,10,6,6,5,5,5,8,11,14,15,15,17,18,19,19,21,21,21,22,23,30,32,32,32,32,32,38,38
